siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
100002427,00019,10000242700019,O,2026-01-01,NN,,,2026-01-20T14:24:35.04,true,A,O,,2026-01-01,5710,J & J PLOMBERIE,,,,,,,,,,,43.22A,NAFRev2,,N,N,NN,,00019,2026-01-20T14:24:35.04,,,RUE ARSENE THEMIRE,22,,,CITE,PASCALINE,97300,CAYENNE,,97302,,,97302a360_B,354111.88,544404.42,A,,,,J & J PLOMBERIE,43.22A,NAFRev2,N,43.22G
324548288,00020,32454828800020,O,1990-10-01,NN,,4322AZ,2025-12-06T04:37:43.063,true,A,O,,1981-11-01,1000,,,M,LAFOLLE,,PATRICK,THOMAS,,,PATRICK,,43.22A,NAFRev2,,,,NN,,00020,2025-12-06T09:35:00.577,PME,2023,,51,,,CITE,COULEE D OR,97300,CAYENNE,,97302,,,97302A140_C,,,A,,,,,43.22A,NAFRev2,N,43.22G
332941251,00016,33294125100016,O,1985-04-22,NN,,4322AZ,2025-12-06T03:54:51.429,true,A,O,,1985-04-22,1000,,,M,ROLLE,,IHTON,,,,IHTON,,43.22A,NAFRev2,,,,NN,,00016,2025-12-06T08:04:44.011,PME,2023,,4,,,RUE,AUGUSTE BOUDINOT,97300,CAYENNE,,97302,,,973020085_B,353757.1371463459,545591.6227922908,A,,,,,43.22A,NAFRev2,N,43.22G
337984967,00048,33798496700048,O,2018-03-23,NN,,4322AZ,2025-12-06T01:12:02.75,true,A,O,,1986-07-01,1000,,,M,DAUPHIN,,MARCELLIN,ADOLPHE,,,MARCELLIN,,43.22A,NAFRev2,,,,NN,,00048,2025-12-06T06:33:18.325,PME,2023,,12,,,RUE,DU BOIS COTON,97356,MONTSINERY-TONNEGRANDE,,97313,,,973130123_B,334339.14604902174,540763.3101216983,A,,,,LA MONTSINERIENNE,43.22A,NAFRev2,N,43.22G
338121312,00031,33812131200031,O,2011-04-12,NN,,4322AZ,2025-12-06T04:14:10.839,true,A,O,,1986-06-16,1000,,,M,GRANDY,,RICHARD,CYPRIEN,,,RICHARD,,43.22A,NAFRev2,,,,NN,,00031,2025-12-06T07:27:30.486,PME,2023,,2,,,CITE,JEAN FRANCOIS,97300,CAYENNE,,97302,,,97302a231_B,353908.8855017142,544716.5109437879,A,,,,MULTI TRAVAUX,43.22A,NAFRev2,N,43.22G
338136831,00017,33813683100017,O,1986-06-27,11,2023,4322AZ,2025-12-05T20:00:22.91,true,A,O,,1986-06-27,5710,SOC GUYANAISE DE PLOMBERIE,SGP,,,,,,,,,,43.22A,NAFRev2,,N,,11,2023,00017,2025-12-06T07:53:00.137,PME,2023,700A,700,,,CHEMIN,GIBELIN,97351,MATOURY,,97307,,,973070030_B,352923.62720742926,536823.6917260239,A,,,,,43.22A,NAFRev2,O,43.22G
342470218,00047,34247021800047,O,2025-06-30,NN,,,2025-12-05T18:48:40.627,true,A,O,,1987-10-01,1000,,,M,BONJOTIN,,JEAN-PAUL,MAURICE,,,JEAN-PAUL,,43.22A,NAFRev2,,,,NN,,00047,2025-12-06T09:50:55.194,PME,2023,,2669,,,ROUTE,D'ATTILA CABASSOU,97354,REMIRE-MONTJOLY,,97309,,,973090288_B,355251.46,540888.25,A,,,,,43.22A,NAFRev2,N,43.22G
350391173,00035,35039117300035,O,1999-10-04,NN,,4322AZ,2025-12-05T19:00:29.937,true,A,O,,1989-03-19,1000,,,M,HO-FOUI-SANG,,HENRI,,,,HENRI,,43.22A,NAFRev2,,,,NN,,00035,2025-12-06T09:09:36.07,PME,2023,LOTISSEMENT COTONNIERE OUEST,835,,,LOTISSEMENT,LA COTONNIERE OUEST,97351,MATOURY,,97307,,,97307A012_B,351554.0311238829,539682.2600012047,A,,,,HENRI HO,43.22A,NAFRev2,N,43.22G
378442701,00033,37844270100033,P,2006-01-02,NN,,,2025-12-05T19:15:34.864,true,A,P,,1990-06-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],43.22A,NAFRev2,,,,NN,,00033,2025-12-06T10:28:45.832,PME,2023,[ND],[ND],[ND],[ND],[ND],[ND],[ND],MATOURY,,97307,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],43.22A,NAFRev2,N,43.22G
378558563,00037,37855856300037,O,2009-07-20,NN,,4322AZ,2025-12-05T16:23:56.799,true,A,O,,1990-06-29,1000,,,M,BOUTIN,,ERIC,EUGENE,,,ERIC,,43.22A,NAFRev2,,,,NN,,00037,2025-12-06T09:12:41.123,PME,2023,RESIDENCE MAYA,2,,,RUE,DES EMERILLONS,97351,MATOURY,,97307,,,973070127_B,352822.01705560135,539747.195761327,A,,,,ASS-PLOMB-GAZ,43.22A,NAFRev2,N,43.22G
380448464,00020,38044846400020,O,1992-03-12,NN,,,2025-12-05T18:27:18.356,true,A,O,,1991-01-01,1000,,,M,LABOURG,,CHRISTIAN,,,,CHRISTIAN,,43.22A,NAFRev2,,,,NN,,00020,2025-12-06T06:16:45.649,PME,2023,,,,,LD,SAVANE MATITI PK 10,97355,MACOURIA,,97305,,,,,,A,,,,,43.22A,NAFRev2,N,43.22G
381267343,00014,38126734300014,O,1991-04-01,NN,,4391BZ,2025-12-05T16:13:54.15,true,A,O,,1991-04-01,1000,,,M,QUOINQUOIN,,JEREMIE,,,,JEREMIE,,43.22A,NAFRev2,,,,NN,,00014,2025-12-06T08:56:25.636,PME,2023,,,,,RTE,DE MANA PK 3 5,97360,MANA,,97306,,,,,,A,,,,,43.22A,NAFRev2,N,43.22G
382257798,00019,38225779800019,O,1991-07-15,NN,,4322AZ,2025-12-05T16:54:33.504,true,A,O,,1991-07-15,1000,,,M,LOUISE,,NORBERT,,,,NORBERT,,43.22A,NAFRev2,,,,NN,,00019,2025-12-06T10:54:10.392,PME,2023,,13,,,LOTISSEMENT,GIBELIN I,97351,MATOURY,,97307,,,97307A025_B,352938.786692102,536636.0284450527,A,,,,,43.22A,NAFRev2,N,43.22G
385120324,00053,38512032400053,O,2013-01-01,NN,,4322AZ,2025-12-06T00:04:07.586,true,A,O,,1992-03-27,1000,,,M,TANIBOL,,OCTAVE,ANICET,,,OCTAVE,,43.22A,NAFRev2,,,,NN,,00053,2025-12-06T09:33:41.347,PME,2023,PK1 -RTE TONNEGRANDE LD BEAUSEJOUR,,,,LOT,KALANI,97356,MONTSINERY-TONNEGRANDE,,97313,,,,,,A,,,,,43.22A,NAFRev2,N,43.22G
388564858,00032,38856485800032,O,2010-01-01,NN,,4322AZ,2025-12-06T04:12:02.466,true,A,O,,1992-09-27,1000,,,M,PIERRE,,TIBURCE,,,,TIBURCE,,43.22A,NAFRev2,,,,NN,,00032,2025-12-06T05:42:14.486,PME,2023,,90,,,CITE,CHATENAY 4,97300,CAYENNE,,97302,,,97302a119_B,354437.8558153804,546458.5641922102,A,,,,PT PLOMBERIE,43.22A,NAFRev2,N,43.22G
388646440,00031,38864644000031,O,2017-12-01,NN,,4322AZ,2025-12-05T16:23:15.318,true,A,O,,1992-08-17,1000,,,M,RAMPHORT,,DANIEL,TONY,,,DANIEL,,43.22A,NAFRev2,,,,NN,,00031,2025-12-06T09:13:09.906,PME,2023,,7539,,,AVENUE,CHRISTOPHE COLOMB,97320,SAINT-LAURENT-DU-MARONI,,97311,,,973110032_B,163262.53523387946,606217.8277587154,A,,,,DAN A DOM PLOMBERIE,43.22A,NAFRev2,N,43.22G
399687821,00039,39968782100039,O,2009-05-28,11,2023,,2025-12-05T22:47:22.99,true,A,O,,1995-01-01,5710,COMPAGNIE D INGENIERIE DES EAUX,CIE,,,,,,,,,,43.22A,NAFRev2,,,,11,2023,00039,2025-12-06T11:24:52.884,GE,2023,ZAC DE DEGRAD DES CANNES,,,,,PASCAUD OUEST,97354,REMIRE-MONTJOLY,,97309,,,97309B019_B,358247.53517476754,538013.7486068865,A,,,,,43.22A,NAFRev2,O,43.22G
407539774,00015,40753977400015,O,1996-05-09,NN,,4334ZB,2025-12-05T23:46:59.276,true,A,O,,1996-05-09,1000,,,M,PRUD'HOMME,,ALAIN,,,,ALAIN,,43.22A,NAFRev2,,,,NN,,00015,2025-12-06T06:56:14.832,PME,2023,PROPRIETE ANASTHASE,20,,,RUE,VICTOR CEIDE,97351,MATOURY,,97307,,,973070052_B,352525.9090399288,536201.9745214146,A,,,,,43.22A,NAFRev2,N,43.22G
410165039,00018,41016503900018,O,1997-01-04,NN,,,2025-12-05T16:13:13.641,true,A,O,,1997-01-04,5499,SARL PLOMB'EXPRESS,,,,,,,,,,,43.22A,NAFRev2,,,,NN,,00018,2025-12-06T10:16:50.635,PME,2023,,15,,,RUE,DES FRERES AMET,97310,KOUROU,,97304,,,973040671_B,317499.15249658923,569831.7512395701,A,,,,,43.22A,NAFRev2,O,43.22G
411565963,00013,41156596300013,O,1997-04-04,NN,,1013AZ,2025-12-06T01:40:03.241,true,A,O,,1997-04-04,1000,,,M,LUBRANO DIFIGOLO,,MICHEL,,,,MICHEL,,43.22A,NAFRev2,,,,NN,,00013,2025-12-06T06:43:35.842,PME,2023,CITE GRANT,180,,,RUE,DES BECS D'ARGENT,97300,CAYENNE,,97302,,,973020107_B,355568.46473044343,547052.0757529789,A,,,,,43.22A,NAFRev2,N,43.22G
418186730,00028,41818673000028,O,2011-01-15,NN,,,2025-12-05T23:04:54.548,true,A,O,,1998-04-03,1000,,,M,BEAUDI,,GILLES,,,,GILLES,,43.22A,NAFRev2,,,,NN,,00028,2025-12-06T07:54:33.67,PME,2023,,,,,LOTISSEMENT,COGNEAU,97351,MATOURY,,97307,,,97307A010_B,352458.45897124836,539122.208707675,A,,,,,43.22A,NAFRev2,N,43.22G
421792540,00021,42179254000021,O,2026-01-22,NN,,,2026-01-23T15:03:43.276,true,A,O,,1999-02-19,1000,,,M,HYACINTHE,,JEAN,PRESSOIR,,,JEAN,,43.22A,NAFRev2,,,,NN,,00021,2026-01-23T15:03:43.281,,,LOT PREFONTAINE,23,,,RUE,DES JACQUIERS,97355,MACOURIA,,97305,,,97305455x_B,335519.74,550794.54,A,,,,ALIZEE MULTI-TRAVAUX,43.22A,NAFRev2,N,43.22G
423424514,00036,42342451400036,O,2023-06-30,NN,,,2025-12-05T23:47:36.625,true,A,O,,1999-06-08,1000,,,M,OXIGENE,,VANEL,,,,VANEL,,43.22A,NAFRev2,,,,NN,,00036,2025-12-06T08:24:05.668,PME,2023,LOTISSAMENT PATIENT,,,,RUE,DE L’AUBIER JAUNE,97300,CAYENNE,,97302,,,973021065_B,353785.9873154381,543355.7761074019,A,,,,TOUS TRAVAUX ET SERVICES,43.22A,NAFRev2,N,43.22G
433638533,00037,43363853300037,O,2006-09-11,01,2023,4399CZ,2025-12-05T18:34:57.243,true,A,O,,2000-12-01,1000,,,M,AUGUSTE,,JOSEPH,JOUMY,,,JOSEPH,,43.22A,NAFRev2,,,,01,2023,00037,2025-12-06T06:55:22.415,PME,2023,,15,,,RUE,ALEXANDRE BERTHIER,97310,KOUROU,,97304,,,973040236_B,316693.18095637305,569950.3936658604,A,,,,,43.22A,NAFRev2,O,43.22G
433638996,00036,43363899600036,O,2011-01-01,NN,,4322AZ,2025-12-06T04:18:45.674,true,A,O,,2000-09-01,5499,SOCIETE CASTOR DIEUJUSTE,SCDJ,,,,,,,,,,43.22A,NAFRev2,,,,NN,,00036,2025-12-06T07:52:00.757,PME,2023,AQUAVILLA LOT SALEM,1063,,,RUE,DE LA RAFFINERIE,97351,MATOURY,,97307,,,973070719_B,354007.10347489995,539334.5525424047,A,,,,,43.22A,NAFRev2,N,43.22G
