siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
329008379,00011,32900837900011,O,1984-02-06,NN,,4322AZ,2025-12-05T16:25:05.457,true,A,O,,1984-02-06,1000,,,M,GRONDIN,,JANICK,GERMAIN,,,JANICK,,43.22A,NAFRev2,,,,NN,,00011,2025-12-06T06:03:36.89,PME,2023,LA BRETAGNE,96,,,CHEMIN,DE GRAND CANAL,97490,SAINT-DENIS,,97411,,,974110593_B,343622.00471751066,7687040.3208820755,A,,,,,43.22A,NAFRev2,N,43.22G
329579460,00018,32957946000018,O,1984-04-16,02,2023,4120AZ,2025-12-05T23:36:32.977,true,A,O,,1984-04-16,1000,,,M,THIBURCE,,MICHEL,JOSEPH,,,MICHEL,,43.22A,NAFRev2,,,,02,2023,00018,2025-12-06T08:04:22.837,PME,2023,PITON CAILLOUX,108,,,CHEMIN,ARTHUR RIMBAUD,97438,SAINTE-MARIE,,97418,,,974180113_B,347113.7321946329,7683194.662443843,A,,,,,43.22A,NAFRev2,O,43.22G
332095298,00037,33209529800037,O,1989-09-01,NN,,4322AZ,2025-12-05T18:03:42.036,true,A,O,,1985-03-01,1000,,,M,SORIANO,,JOAQUIM,,,,JOAQUIM,,43.22A,NAFRev2,,,,NN,,00037,2025-12-06T10:23:06.558,PME,2023,PONT D'YVES,33,,,CHEMIN,ALANVERT,97430,LE TAMPON,,97422,,,974220067_B,344794.3423965154,7651514.645935693,A,,,,,43.22A,NAFRev2,N,43.22G
339235947,00027,33923594700027,O,2023-02-01,NN,,,2025-12-05T15:58:40.917,true,A,O,,1986-10-28,1000,,,M,BEGUE,,JEAN,MARIE,ERIC,,JEAN,,43.22A,NAFRev2,,,,NN,,00027,2025-12-06T06:29:08.668,PME,2023,LOT DUPARC,19,B,,RUE,LOUIS LAGOURGUE,97438,SAINTE-MARIE,,97418,,,974180180_B,346308.3597032471,7688284.947904175,A,,,,ENTREPRISE BEGUE DEPANNAGE ELECTRICITE PLOMBERIE,43.22A,NAFRev2,O,43.22G
341892677,00038,34189267700038,O,1991-06-28,NN,,,2025-12-06T04:35:49.368,true,A,O,,1987-06-23,2210,DIDIER ET PICARD,,,,,,,,,,,43.22A,NAFRev2,,,,NN,,00038,2025-12-06T08:08:24.836,PME,2023,,33,,,RUE,ROLAND FABIEN HOARAU,97418,LE TAMPON,,97422,,,974220590_B,348923.34417551337,7653054.193346294,A,,,,,43.22A,NAFRev2,N,43.22G
342068400,00015,34206840000015,O,1987-08-10,NN,,4322AZ,2025-12-06T00:16:05.149,true,A,O,,1987-08-10,1000,,,M,SIVA,,JEAN-RUFIN,,,,JEAN-RUFIN,,43.22A,NAFRev2,,,,NN,,00015,2025-12-06T07:32:20.19,PME,2023,,10,,,RUE,MARCADET,97460,SAINT-PAUL,,97415,,,974150975_B,321942.53309188294,7678749.520866277,A,,,,,43.22A,NAFRev2,O,43.22G
343751020,00037,34375102000037,O,1995-07-19,NN,,,2025-12-05T19:37:24.559,true,A,O,,1988-01-02,1000,,,M,GRISON,,GERARD,,,,GERARD,,43.22A,NAFRev2,,,,NN,,00037,2025-12-06T07:27:14.185,PME,2023,,379,,,RUE,HUBERT DELISLE,97430,LE TAMPON,,97422,,,974221048_B,345446.47423257295,7647369.481510402,A,,,,,43.22A,NAFRev2,N,43.22G
345106637,00035,34510663700035,O,2013-12-26,NN,,,2025-12-05T20:24:33.335,true,A,O,,1988-05-30,1000,,,M,MAILLOT,,JOSEPH,PATRICK,,,JOSEPH,,43.22A,NAFRev2,,,,NN,,00035,2025-12-06T10:27:18.722,PME,2023,SAINTE THERESE,4,,,RUE,DES SERINS,97419,LA POSSESSION,,97408,,,974080480_B,327082.7805699946,7682078.956447053,A,PLOMBERIE MAILLOT PATRICK,,,PLOMBERIE MAILLOT PATRICK,43.22A,NAFRev2,N,43.22G
347990715,00018,34799071500018,O,1988-09-25,NN,,,2025-12-06T01:18:37.082,true,A,O,,1988-09-25,1000,,,M,LEBLANC,,MICHEL,GEORGES,,,MICHEL,,43.22A,NAFRev2,,,,NN,,00018,2025-12-06T09:50:09.83,PME,2023,,107,,,RUE,DU PERE ROGNARD,97430,LE TAMPON,,97422,,,974221500_B,346906.57294287346,7646695.993300432,A,,,,,43.22A,NAFRev2,N,43.22G
348136672,00048,34813667200048,O,2020-05-14,NN,,4322AZ,2025-12-06T04:48:24.493,true,A,O,,1988-09-28,1000,,,M,PELLIER,,JULIEN,,,,JULIEN,,43.22A,NAFRev2,,,,NN,,00048,2025-12-06T07:37:59.709,PME,2023,LE BRULE,103,,,ROUTE,DES AZALEES,97400,SAINT-DENIS,,97411,,,974110127_B,337378.46633326984,7685264.827310959,A,,,,,43.22A,NAFRev2,N,43.22G
348953126,00029,34895312600029,O,2013-03-13,NN,,4322AZ,2025-12-05T17:00:36.257,true,A,O,,1988-12-19,1000,,,M,EDOUARD,,CHARLES,,,,CHARLES,,43.22A,NAFRev2,,,,NN,,00029,2025-12-06T10:09:49.065,PME,2023,APPT 55 RESIDENCE LE GRAND BLEU,52,,,ALLEE,DES TERRASSES,97400,SAINT-DENIS,,97411,,,97411nem4_B,340534.6524508008,7687761.5126571525,A,,,,SOUDURE TOUS METAUX TUYAUTERIE PLOMBERIE FERRONNERIE CHAUDRONNERIE - S.T.P.F.C,43.22A,NAFRev2,N,43.22G
351764915,00036,35176491500036,O,2008-06-17,NN,,4322AZ,2025-12-06T04:48:24.671,true,A,O,,1989-08-23,1000,,,M,TOSSEM,,JEAN,ADRIEN,BERNARD,,JEAN,,43.22A,NAFRev2,,,,NN,,00036,2025-12-06T07:24:11.913,PME,2023,HLM FOUCHEROLLES,2,,,ALLEE,FRANCOIS MAURIAC,97490,SAINT-DENIS,,97411,,,974110706_B,343205.1287829332,7688152.367235946,A,J.B. PLOMBERIE SERVICE,,,,43.22A,NAFRev2,N,43.22G
